Data,Open,High,Low,Price,Volume
2024-06-04,372608.4,379991.46,372037.48,376554.14,92971254.45
2024-06-05,376554.14,378639.69,371204.52,374291.99,63842837.84
2024-06-06,374291.99,379757.28,365628.67,373317.54,103104993.64
2024-06-07,373317.54,374929.85,372220.41,373584.83,33350729.6
2024-06-08,373584.83,376222.71,372764.55,375292.94,25272526.2
2024-06-09,375292.94,377857.62,371416.25,373801.54,59198951.1
2024-06-10,373801.54,374464.01,356751.54,363823.8,112626609.36
2024-06-11,363823.8,378683.05,361859.82,369941.61,98408053.66
2024-06-12,369941.61,371445.28,358607.91,361092.4,67098835.58
2024-06-13,361092.4,363575.34,352162.01,358003.89,65117959.77
2024-06-14,358003.89,358052.68,357788.78,357936.31,186347.49
