Data,Open,High,Low,Price,Volume
2024-05-20,18499.75,19625.71,18365.22,19395.88,7368758015.84
2024-05-21,19395.88,19462.48,18776.45,19305.26,4390005507.68
2024-05-22,19305.26,20102.85,18989.93,19606.26,9378330738.77
2024-05-23,19606.26,20061.34,19030.0,19339.4,3574044770.04
2024-05-24,19339.4,19761.21,19404.86,19480.45,1266487428.04
2024-05-25,19480.45,20054.24,19270.45,19893.92,1586696303.72
2024-05-26,19893.92,20697.7,20077.82,20211.16,2150468673.28
2024-05-27,20211.16,20268.32,19814.12,19945.41,1645735064.65
2024-05-28,19945.41,19982.16,19660.1,19706.11,1267884648.59
2024-05-29,19706.11,19934.81,19509.37,19602.32,1116050069.37
2024-05-30,19602.32,20008.92,19450.16,19827.41,1103122934.97
2024-05-31,19827.41,20184.27,19866.15,20127.08,475473653.73
2024-06-01,20127.08,20258.2,19871.44,19982.45,567209958.29
2024-06-02,19982.45,20151.17,19652.9,19764.83,884364892.05
2024-06-03,19764.83,20396.58,20016.52,20128.31,1019610197.96
2024-06-04,20128.31,20529.73,19991.26,20473.25,1103022268.91
2024-06-05,20473.25,20383.94,20062.05,20159.37,603536358.15
2024-06-06,20159.37,20110.62,19558.11,19800.76,1233393841.18
2024-06-07,19800.76,19930.75,19773.85,19844.83,315156279.74
2024-06-08,19844.83,20006.87,19879.27,19969.34,286184966.64
2024-06-09,19969.34,19901.19,19676.91,19714.29,364248181.53
2024-06-10,19714.29,19231.73,18835.16,18900.65,1430247636.07
2024-06-11,18900.65,19429.33,19140.78,19296.15,1215562016.86
2024-06-12,19296.15,18885.13,18599.87,18762.36,862564466.14
2024-06-13,18762.36,18963.47,18476.58,18873.97,911050635.46
2024-06-14,18873.97,19428.39,18893.11,19363.73,1031179623.32
2024-06-15,19363.73,19779.52,19316.75,19652.98,587556514.57
2024-06-16,19652.98,19712.3,19082.61,19104.32,847537597.47
2024-06-17,19104.32,19083.78,18555.95,19065.95,1170062587.16
2024-06-18,19065.95,19517.33,18970.45,19460.51,1039273068.76
2024-06-19,19460.51,19939.59,19003.95,19278.09,603472607.05
