Data,Open,High,Low,Price,Volume
2024-05-25,874.9,893.61,832.51,849.83,181226923.22
2024-05-26,849.7,887.66,855.59,882.98,157783855.08
2024-05-27,882.98,897.74,864.38,875.38,195416142.49
2024-05-28,875.38,899.3,867.1,880.55,159317283.09
2024-05-29,880.55,896.99,869.82,873.04,178017220.55
2024-05-30,873.04,882.29,859.86,873.03,125121938.88
2024-05-31,873.03,885.36,874.64,876.43,60584628.67
2024-06-01,876.43,881.66,854.8,862.33,112748304.44
2024-06-02,862.33,871.98,853.56,865.12,107350609.93
2024-06-03,865.12,907.3,884.94,907.3,130913038.82
2024-06-04,907.3,931.98,901.56,923.69,101369392.91
