Data,Open,High,Low,Price,Volume
2024-06-04 11:00:00,366465.89,368847.08,365820.3,367073.78,11043949.48
2024-06-04 12:00:00,367073.78,370159.28,366468.16,370090.29,12963417.42
2024-06-04 13:00:00,370090.29,373715.09,369667.21,372396.83,23159835.03
2024-06-04 14:00:00,372396.83,372844.14,370447.86,372319.0,11714065.78
2024-06-04 15:00:00,372319.0,374472.57,372314.9,373960.59,10693974.81
2024-06-04 16:00:00,373960.59,374039.52,371270.88,372820.35,4936099.61
2024-06-04 17:00:00,372820.35,373536.07,371302.11,372713.58,5766505.1
2024-06-04 18:00:00,372713.58,373782.01,372051.62,373782.01,4856270.15
2024-06-04 19:00:00,373782.01,374313.18,373098.72,373553.33,3346306.28
2024-06-04 20:00:00,373553.33,373705.34,372319.96,372608.4,2326168.53
2024-06-04 21:00:00,372608.4,372947.37,372116.32,372505.78,302039.88
