Data,Open,High,Low,Price,Volume
2024-06-04 11:00:00,875.49,879.88,872.9,874.74,14186997.8
2024-06-04 12:00:00,874.74,882.67,878.96,881.93,8801154.51
2024-06-04 13:00:00,881.93,892.64,886.68,890.77,13881355.52
2024-06-04 14:00:00,890.77,892.45,889.47,892.45,6576864.58
2024-06-04 15:00:00,892.45,899.38,894.51,898.25,5385801.25
2024-06-04 16:00:00,898.25,897.38,892.53,897.38,5339321.8
2024-06-04 17:00:00,897.38,898.99,893.39,897.12,6850572.95
2024-06-04 18:00:00,897.12,900.44,897.45,898.2,2133939.21
2024-06-04 19:00:00,898.2,905.12,897.65,904.0,8781718.05
2024-06-04 20:00:00,904.0,907.3,900.97,907.3,9627765.87
2024-06-04 21:00:00,907.3,910.95,901.77,906.77,6418624.46
