Data,Open,High,Low,Price,Volume
2020-01-02,28200.0,30350.0,28003.0,29776.15,6528225.27
2020-01-03,29776.15,29980.0,29611.0,29761.03,1109262.62
2020-01-04,29761.03,30200.0,29650.0,29741.0,1966701.41
2020-01-05,29741.0,31500.0,29650.05,31399.99,8697016.73
2020-01-06,31399.99,33350.0,31399.99,33179.0,15678994.01
2020-01-07,33179.0,34280.15,32000.05,32800.27,15588482.78
2020-01-08,32800.27,32800.27,32000.0,32276.45,6129253.72
2020-01-09,32276.45,33369.77,31800.0,33208.8,7868326.3
2020-01-10,33208.8,33450.35,32800.0,32860.0,2465374.59
2020-01-11,32860.0,33470.0,32515.16,33188.0,1376888.4
2020-01-12,33188.0,33798.0,32900.0,33518.95,6852063.5
2020-01-13,33518.95,36500.0,33384.52,36223.0,23818595.67
2020-01-14,36223.0,37200.0,35463.0,36889.49,11495122.59
2020-01-15,36889.49,36919.78,35710.0,36471.79,8673289.64
2020-01-16,36471.79,37499.0,36386.0,37226.48,9536181.72
2020-01-17,37226.48,37500.0,37055.0,37260.0,3320419.97
2020-01-18,37260.0,38000.0,35501.0,36400.36,8484762.2
2020-01-19,36400.36,36996.07,35619.0,36649.99,7539463.22
2020-01-20,36649.99,37000.0,36350.0,36916.99,5652417.59
2020-01-21,36916.99,37000.0,36500.0,36595.76,4724972.63
2020-01-22,36595.76,36639.99,34590.0,35216.0,8810120.93
2020-01-23,35216.0,36000.0,34450.0,35649.12,6884807.34
2020-01-24,35649.12,35800.0,35010.0,35177.21,1794047.32
2020-01-25,35177.21,35976.97,35056.18,35950.0,1339104.96
2020-01-26,35950.0,37790.0,35891.26,37000.18,13699270.53
2020-01-27,37000.18,39000.0,37000.0,38920.02,15067893.07
2020-01-28,38920.02,39530.0,38450.0,39101.0,14746792.53
2020-01-29,39101.0,40588.9,38551.1,40005.0,19408600.77
2020-01-30,40005.0,40299.0,39000.0,39890.8,10093368.67
2020-01-31,39890.8,40205.0,39700.0,39935.89,1879756.23
2020-02-01,39935.89,40501.01,39600.0,40198.13,4040501.61
2020-02-02,40198.13,40501.01,39402.0,39700.0,7720268.41
2020-02-03,39700.0,39914.0,38700.0,39375.99,8109693.92
2020-02-04,39375.99,41202.0,39050.0,40690.02,14202620.68
2020-02-05,40690.02,42000.0,40500.99,41800.0,9938475.4
2020-02-06,41800.0,42500.0,41696.0,42285.0,9722645.74
2020-02-07,42285.0,42700.0,42000.0,42590.01,3863363.77
2020-02-08,42590.01,44000.0,42590.01,43850.0,6872378.27
2020-02-09,43850.0,43990.0,41850.0,42771.0,12692625.15
2020-02-10,42771.0,44700.0,42250.0,44250.0,16542446.65
2020-02-11,44250.0,45430.0,44194.0,45120.0,13034906.07
2020-02-12,45120.0,45500.0,44385.0,44675.0,11059987.24
2020-02-13,44675.0,45200.0,44450.0,44660.54,6308619.59
2020-02-14,44660.54,45100.0,42500.0,43229.97,7500398.18
2020-02-15,43229.97,44000.0,42500.0,43400.0,4863007.78
2020-02-16,43400.0,43449.62,41100.0,42400.4,12189152.55
2020-02-17,42400.4,44900.0,42317.41,44220.1,12396808.06
2020-02-18,44220.1,44900.01,41810.0,43097.48,10028026.33
2020-02-19,43097.48,43999.0,42101.0,42450.0,9759670.01
2020-02-20,42450.0,43999.0,42450.0,43000.0,6068430.22
2020-02-21,43000.0,43479.95,42757.35,42970.0,1082713.92
2020-02-22,42970.0,43789.0,42771.0,43726.18,1833910.44
2020-02-23,43726.18,43769.0,42502.02,42913.87,1831811.23
2020-02-24,42913.87,43000.0,41500.99,41677.07,3829623.27
2020-02-25,41677.07,41988.04,38900.0,39750.0,13223575.37
2020-02-26,39750.0,41020.27,38505.15,40000.0,11799984.12
2020-02-27,40000.0,40493.89,38300.0,39578.13,6815773.96
2020-02-28,39578.13,39756.96,39001.89,39001.89,1451204.14
2020-02-29,39001.89,39348.9,38450.0,38749.98,2858346.19
2020-03-01,38749.98,40799.2,38550.0,40399.06,7978650.75
2020-03-02,40399.06,40780.13,39500.0,39963.42,5466090.77
2020-03-03,39963.42,40700.0,39603.75,40354.98,6032356.38
2020-03-04,40354.98,42962.52,40049.26,42100.0,10180225.61
2020-03-05,42100.0,42900.7,41612.27,42300.0,7647300.17
2020-03-06,42300.0,42441.95,41350.0,41453.11,1890828.25
2020-03-07,41453.11,41453.13,38601.0,38612.49,5824147.38
2020-03-08,38612.49,40270.0,37000.0,38248.99,19114712.41
2020-03-09,38248.99,39225.0,36784.11,37360.06,11258206.0
2020-03-10,37360.06,38660.0,36250.0,38429.9,8492705.82
2020-03-11,38429.9,38600.0,25501.0,25999.95,29879057.13
2020-03-12,25999.95,34499.98,20910.0,28994.98,34644740.32
2020-03-13,28994.98,29000.0,26500.0,27300.0,5339664.67
