Data,Open,High,Low,Price
2021-09-07,18180.1,18737.98,17729.16,18637.34
2021-09-08,18637.34,18771.11,18055.93,18082.87
2021-09-09,18082.87,17836.13,16924.64,17072.58
2021-09-10,17072.58,17559.86,17175.61,17370.14
2021-09-11,17370.14,18366.34,17604.13,18075.62
2021-09-12,18075.62,17439.08,16799.02,17196.7
2021-09-13,17196.7,18272.35,17763.89,18073.93
2021-09-14,18073.93,18955.08,18098.99,18955.08
2021-09-15,18955.08,19206.15,18698.59,18870.3
2021-09-16,18870.3,18883.36,18025.95,18124.3
2021-09-17,18124.3,18671.96,18142.95,18266.21
2021-09-18,18266.21,18005.18,17563.03,17698.69
2021-09-19,17698.69,16387.37,15906.61,15989.82
2021-09-20,15989.82,15415.94,14547.47,14705.57
2021-09-21,14705.57,16465.71,15717.48,16465.71
2021-09-22,16465.71,17067.18,16736.62,16830.04
2021-09-23,16830.04,16211.95,15360.75,15778.27
2021-09-24,15778.27,15928.81,15525.58,15779.04
2021-09-25,15779.04,16544.19,15511.92,16481.41
2021-09-26,16481.41,16370.15,15812.44,15865.01
2021-09-27,15865.01,15664.01,15242.54,15329.97
2021-09-28,15329.97,15785.53,15455.86,15605.92
2021-09-29,15605.92,16614.16,16285.45,16314.03
2021-09-30,16314.03,17970.83,17480.52,17736.0
2021-10-01,17736.0,18413.2,17524.92,18203.29
2021-10-02,18203.29,18537.91,18214.95,18320.88
2021-10-03,18320.88,18994.9,18390.27,18398.3
2021-10-04,18398.3,19538.46,19207.88,19295.47
2021-10-05,19295.47,20903.02,19626.22,19647.5
2021-10-06,19647.5,19981.68,19024.79,19821.21
2021-10-07,19818.23,20062.5,19496.22,19783.86
2021-10-08,19783.86,20100.43,19756.91,19775.15
2021-10-09,19775.15,19789.6,18990.12,18990.12
2021-10-10,18990.12,20518.98,19521.42,19771.61
2021-10-11,19771.61,19813.64,18761.92,19510.02
2021-10-12,19510.02,20151.37,19513.97,20027.08
2021-10-13,20027.08,21342.16,19806.55,21099.53
2021-10-14,21099.53,22493.75,21079.82,21317.74
2021-10-15,21317.74,21655.92,20802.72,21128.55
2021-10-16,21128.55,21817.02,20956.67,21176.84
2021-10-17,21176.84,21532.94,20681.1,20742.93
2021-10-18,20742.93,22055.16,21311.6,21667.22
2021-10-19,21667.22,23382.76,22188.48,23312.51
2021-10-20,23312.51,23369.82,22184.93,22978.38
2021-10-21,22978.38,22747.15,22333.25,22567.79
2021-10-22,22567.79,23709.16,22719.54,23691.74
2021-10-23,23691.74,23602.74,22917.0,23232.16
2021-10-24,23232.16,23768.62,23096.79,23655.47
2021-10-25,23655.47,23530.41,22668.71,23231.87
2021-10-26,23231.87,23132.73,22053.88,22090.06
2021-10-27,22090.06,24424.07,23107.02,24396.49
2021-10-28,24396.49,25452.84,24917.18,25161.95
2021-10-29,25161.95,25059.66,24474.41,24633.06
2021-10-30,24633.06,24922.3,24201.43,24470.88
2021-10-31,24470.88,24901.15,24146.89,24764.97
2021-11-01,24764.97,26325.06,25232.98,26159.26
2021-11-02,26159.26,26309.6,25566.39,25891.99
2021-11-03,25891.99,25763.14,25296.37,25721.34
2021-11-04,25721.34,25324.12,24977.78,25169.81
2021-11-05,25169.81,25487.6,24903.39,25401.18
2021-11-06,25401.18,26545.22,25891.88,25891.88
2021-11-07,25891.88,27454.28,26712.58,26810.47
2021-11-08,26810.47,26705.55,26140.04,26307.46
2021-11-09,26307.46,25959.86,25423.26,25869.22
2021-11-10,25869.22,26094.2,25272.87,25902.21
2021-11-11,25902.21,26127.47,25428.99,25801.27
2021-11-12,25801.27,26049.39,25696.36,25721.32
2021-11-13,25721.32,26082.5,25532.86,25540.09
2021-11-14,25540.09,25566.48,24815.77,25281.0
2021-11-15,25281.0,24122.16,23454.43,23508.11
2021-11-16,23508.11,23974.06,23401.25,23943.74
2021-11-17,23943.74,23009.4,22392.56,22569.26
2021-11-18,22569.26,24458.84,23072.58,24356.77
2021-11-19,24356.77,25224.48,24766.71,25054.93
2021-11-20,25054.93,24765.4,24214.62,24264.69
2021-11-21,24264.69,23446.45,23047.59,23178.42
2021-11-22,23178.42,24765.91,23624.77,24586.58
2021-11-23,24586.58,24652.39,24019.7,24246.82
2021-11-24,24246.82,25617.28,24737.03,25577.27
2021-11-25,25577.27,23527.65,22366.24,22989.73
2021-11-26,22989.73,23672.86,23249.24,23305.3
2021-11-27,23305.3,24609.22,24086.1,24372.03
2021-11-28,24372.03,25228.4,24562.85,25218.56
2021-11-29,25218.56,26353.76,24865.94,26279.37
2021-11-30,26279.37,27369.23,26120.85,26261.75
2021-12-01,26261.75,26083.45,25457.73,25767.37
2021-12-02,25767.37,24916.07,23843.06,24193.56
2021-12-03,24193.56,23907.64,22073.61,23737.56
2021-12-04,23737.56,24317.51,23701.98,24093.42
2021-12-05,24093.42,25328.02,24043.06,24997.36
2021-12-06,24997.36,24646.39,24041.15,24300.95
2021-12-07,24300.95,24907.01,24074.8,24881.54
2021-12-08,24881.54,23789.37,23167.37,23253.54
2021-12-09,23253.54,23147.34,22067.11,22120.59
2021-12-10,22120.59,23373.2,22786.84,23102.36
2021-12-11,23102.36,23493.5,22968.83,23402.74
2021-12-12,23402.74,22092.83,21413.05,21675.33
2021-12-13,21675.33,22541.18,21941.23,22071.17
2021-12-14,22071.17,23208.07,21884.13,22973.45
2021-12-15,22973.45,23190.5,22416.76,22717.51
2021-12-16,22717.51,22100.69,21169.75,22087.54
2021-12-17,22087.54,22763.15,22126.61,22610.7
2021-12-18,22610.7,22612.63,22089.12,22449.7
2021-12-19,22449.7,22740.44,22054.76,22603.31
2021-12-20,22603.31,23752.13,22910.55,23039.59
2021-12-21,23039.59,22961.69,22509.94,22701.17
2021-12-22,22701.17,23810.15,23341.24,23419.39
2021-12-23,23419.39,23504.67,23040.44,23101.37
2021-12-24,23101.37,23452.18,22878.35,23414.7
2021-12-25,23414.7,23624.25,23180.26,23217.98
2021-12-26,23217.98,23165.45,22854.0,22972.23
2021-12-27,22972.23,21704.96,21359.07,21559.04
2021-12-28,21559.04,21358.27,20851.01,20859.02
2021-12-29,20859.02,21054.7,20727.83,20919.17
2021-12-30,20919.17,20788.62,20434.19,20731.29
2021-12-31,20731.29,21477.36,21111.7,21213.87
2022-01-01,21213.87,21656.07,21037.47,21592.07
2022-01-02,21592.07,21546.91,21285.05,21441.11
2022-01-03,21441.11,21727.09,21155.88,21643.25
2022-01-04,21643.25,20697.33,20128.53,20406.67
2022-01-05,20406.67,20174.96,19243.96,19583.18
2022-01-06,19583.18,18708.04,17850.05,18185.68
2022-01-07,18185.68,18319.51,17468.65,17573.23
2022-01-08,17573.23,18021.63,17597.08,17954.84
2022-01-09,17954.84,18043.58,17429.78,17608.91
2022-01-10,17608.91,18322.61,17641.68,18248.02
2022-01-11,18248.02,18993.12,18517.06,18845.89
2022-01-12,18845.89,18300.88,18103.49,18113.0
2022-01-13,18113.0,18519.16,18250.21,18447.12
2022-01-14,18447.12,18708.35,18453.13,18592.78
2022-01-15,18592.78,18811.19,18500.4,18719.64
2022-01-16,18719.64,18284.8,17748.95,17873.51
2022-01-17,17873.51,18163.66,17688.55,17721.81
2022-01-18,17721.81,17178.67,16940.11,16981.4
