Data,Open,High,Low,Price
2021-09-07,922.21,1055.18,838.53,1015.57
2021-09-08,1015.57,1111.82,948.42,989.95
2021-09-09,989.95,965.14,890.24,953.53
2021-09-10,953.53,1023.82,941.98,951.71
2021-09-11,951.71,993.48,922.85,925.02
2021-09-12,925.02,917.13,813.49,888.43
2021-09-13,888.43,934.25,772.31,835.75
2021-09-14,835.75,935.77,826.34,833.36
2021-09-15,833.36,845.9,795.13,804.19
2021-09-16,804.19,793.46,704.86,786.22
2021-09-17,786.22,913.23,759.32,900.09
2021-09-18,900.09,883.96,810.33,812.45
2021-09-19,812.45,746.69,704.68,712.02
2021-09-20,713.97,722.93,635.87,660.99
2021-09-21,660.06,813.07,724.67,792.82
2021-09-22,792.82,824.46,787.96,798.9
2021-09-23,800.54,776.92,724.79,750.85
2021-09-24,749.76,776.03,725.92,733.8
2021-09-25,733.8,768.35,729.26,731.73
2021-09-26,731.73,761.1,696.46,738.29
2021-09-27,738.29,723.53,696.68,723.53
2021-09-28,723.53,756.62,727.95,739.64
2021-09-29,740.51,781.28,746.51,769.37
2021-09-30,769.37,893.64,804.87,866.8
2021-10-01,865.56,931.61,870.48,907.05
2021-10-02,907.05,948.07,903.44,924.84
2021-10-03,926.25,965.53,904.53,908.54
2021-10-04,908.54,969.72,890.6,903.32
2021-10-05,903.32,979.49,842.38,845.73
2021-10-06,845.73,887.05,819.89,852.58
2021-10-07,852.28,927.92,847.32,881.78
2021-10-08,881.81,890.97,857.74,867.43
2021-10-09,867.43,840.45,804.53,821.64
2021-10-10,820.77,873.75,787.79,808.63
2021-10-11,808.43,855.69,784.34,851.41
2021-10-12,851.39,881.52,805.03,821.93
2021-10-13,821.93,863.26,809.63,835.81
2021-10-14,835.81,945.23,858.22,899.0
2021-10-15,899.11,890.9,857.12,868.31
2021-10-16,868.31,912.88,871.33,882.14
2021-10-17,881.35,897.86,860.77,870.04
2021-10-18,870.04,917.05,856.34,871.79
2021-10-19,871.79,989.44,894.79,988.7
2021-10-20,988.7,1080.86,942.97,1078.74
2021-10-21,1078.74,1196.51,1039.57,1115.46
2021-10-22,1115.78,1205.2,1118.94,1123.92
2021-10-23,1124.83,1162.3,1076.06,1150.53
2021-10-24,1150.53,1220.25,1136.81,1175.7
2021-10-25,1175.7,1150.74,1112.74,1123.6
2021-10-26,1123.6,1108.78,1010.76,1037.73
2021-10-27,1037.73,1144.66,1077.09,1110.19
2021-10-28,1110.19,1180.59,1134.11,1142.27
2021-10-29,1142.27,1137.34,1082.35,1112.67
2021-10-30,1112.67,1167.03,1074.3,1155.13
2021-10-31,1155.13,1193.2,1143.62,1164.92
2021-11-01,1164.92,1266.51,1160.55,1259.31
2021-11-02,1259.31,1384.49,1214.97,1368.21
2021-11-03,1368.21,1420.53,1317.77,1401.37
2021-11-04,1401.37,1385.03,1297.24,1327.42
2021-11-05,1327.42,1462.61,1331.94,1453.27
2021-11-06,1453.27,1493.43,1396.85,1401.47
2021-11-07,1401.47,1486.42,1374.97,1385.89
2021-11-08,1385.89,1395.55,1320.02,1330.07
2021-11-09,1330.07,1325.91,1247.23,1300.89
2021-11-10,1300.89,1347.55,1267.2,1281.78
2021-11-11,1281.78,1294.85,1244.86,1264.36
2021-11-12,1264.36,1342.23,1260.93,1337.95
2021-11-13,1337.95,1356.74,1308.28,1316.96
2021-11-14,1316.96,1326.26,1275.86,1316.74
2021-11-15,1316.74,1261.3,1224.06,1225.07
2021-11-16,1225.07,1239.98,1191.8,1222.8
2021-11-17,1222.8,1181.95,1062.44,1100.67
2021-11-18,1100.67,1241.38,1120.21,1220.64
2021-11-19,1220.64,1275.3,1218.33,1236.98
2021-11-20,1236.98,1320.22,1196.71,1309.87
2021-11-21,1309.87,1257.84,1201.68,1223.38
2021-11-22,1223.38,1279.38,1218.41,1259.49
2021-11-23,1259.49,1261.82,1145.02,1168.05
2021-11-24,1168.05,1218.01,1174.0,1187.34
2021-11-25,1187.34,1122.59,1034.26,1093.56
2021-11-26,1093.56,1133.49,1095.18,1097.98
